uniprot_accession,standard_inchi_key,canonical_smiles,compound_name,protein_fragment,avg_predictions
Q6YMS6,WTHRRGMBUAHGNI-LCYNINFDSA-N,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3CN4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,QUINUPRISTIN,NS5_DEN2B Dengue virus 2,4.206597924232483
Q6YMS6,DenvInD_278,C1=CC=C(C=C1)COC2=CC=C(C=C2)C(C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C3=NC=CS3,127037700,NS5_DEN2B Dengue virus 2,4.203889951109886
Q6YMS6,ILBRKJBKDGCSCB-UHFFFAOYSA-N,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,CP-466722,NS5_DEN2B Dengue virus 2,4.202664732933044
Q6YMS6,QIIVJLHCZUTGSD-CUBQBAPOSA-N,O=C(Nc1ncc(SCCN2CCCC2)s1)C1(c2ccc(S(=O)(=O)C3CC3)cc2)CC1C1CCCCC1,LY-2608204,NS5_DEN2B Dengue virus 2,4.200222194194794
Q6YMS6,BFCDFTHTSVTWOG-UHFFFAOYSA-N,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,SULOCTIDIL,NS5_DEN2B Dengue virus 2,4.197620898485184
Q6YMS6,URLYINUFLXOMHP-HTVVRFAVSA-N,CN1N=C(N)c2cn(C3OC(COP(=O)(O)O)C(O)C3O)c3ncnc1c23,Triciribine phosphate,NS5_DEN2B Dengue virus 2,4.195802181959152
Q6YMS6,VHVPQPYKVGDNFY-UHFFFAOYSA-N,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Itraconazole,NS5_DEN2B Dengue virus 2,4.187001496553421
Q6YMS6,HJORMJIFDVBMOB-UHFFFAOYSA-N,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,Rolipram,NS5_DEN2B Dengue virus 2,4.185182631015778
Q6YMS6,LACIBZRFAYFTOV-UHFFFAOYSA-N,CC(C)Cc1ccc(C(Nc2cccc(C(=O)c3cn(CCCC(=O)O)c4ccccc34)c2)c2ccc(CC(C)C)cc2)cc1,FK-143,NS5_DEN2B Dengue virus 2,4.184845358133316
Q6YMS6,UCBSXTTUNYWOCC-UHFFFAOYSA-N,O=C1C(NC2CCCCCCC2)=CC(=O)c2ncccc21,AZAQUINONE,NS5_DEN2B Dengue virus 2,4.181942850351334
Q6YMS6,KQZVSTAVTJCKDG-DRSBITMPSA-N,C=C(C)C1CCC2(C(=O)OCC(N)(CO)CO)CCC3(C)C(CCC4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC43C)C12,NVX-207,NS5_DEN2B Dengue virus 2,4.181148111820221
Q6YMS6,GCWIQUVXWZWCLE-INIZCTEOSA-N,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=NC2CC(N)=O,CPI-0610,NS5_DEN2B Dengue virus 2,4.180420160293579
Q6YMS6,MPMKMQHJHDHPBE-RUZDIDTESA-N,CC1(C(=O)N(CCCC(=O)O)Cc2cccc(Cl)c2)CCN1C(=O)c1csc2ccccc12,GLPG-0974,NS5_DEN2B Dengue virus 2,4.173303842544556
Q6YMS6,DenvInD_344,C1C(OC(C1O)N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O,135434165,NS5_DEN2B Dengue virus 2,4.172054633498192
Q6YMS6,NMUSYJAQQFHJEW-KVTDHHQDSA-N,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,Azacitidine,NS5_DEN2B Dengue virus 2,4.1717013120651245
Q6YMS6,DJUFPMUQJKWIJB-UHFFFAOYSA-N,COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(CN4CCCC4)c(O)c(CN4CCCC4)c3)c2n1,Pyronaridine,NS5_DEN2B Dengue virus 2,4.1715516448020935
Q6YMS6,RVJIQAYFTOPTKK-UHFFFAOYSA-N,CN(C)c1cc2c(cc1Sc1nc3c(N)nccc3n1CCNCC(C)(C)C)OCO2,Debio-0932,NS5_DEN2B Dengue virus 2,4.169595330953598
Q6YMS6,AFJRDFWMXUECEW-LBPRGKRZSA-N,Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2cccc(F)c2)sc1Cl,Afuresertib,NS5_DEN2B Dengue virus 2,4.166571408510208
